Sample,X,Y,Z
209,0.066,-0.004,1.043
210,-0.062,0.137,1.066
211,-0.004,0.430,1.039
212,0.035,0.414,0.914
213,-0.004,0.156,0.914
214,0.168,0.066,0.992
215,-0.242,0.340,1.027
216,0.152,0.180,0.930
217,-0.141,0.156,0.949
218,-0.059,0.332,1.059
219,-0.207,0.277,1.023
220,-0.031,0.047,0.910
221,-0.016,0.293,1.066
222,-0.070,0.312,1.004
223,0.254,0.324,0.965
224,0.008,0.258,0.941
225,0.051,0.270,0.898
226,-0.012,0.164,1.090
227,-0.141,0.152,1.199
228,-0.113,0.227,0.984
229,0.008,0.258,0.910
230,0.109,0.172,0.914
231,-0.047,0.051,1.047
232,-0.148,-0.004,0.957
233,0.098,-0.012,0.914
234,-0.074,0.219,1.082
235,-0.047,0.363,1.047
236,0.023,0.180,0.902
237,-0.023,0.000,0.891
238,-0.172,-0.098,1.059
239,0.137,-0.027,1.121
240,-0.156,0.176,1.129
241,0.250,0.047,0.824
242,0.234,-0.254,0.738
243,0.242,-0.188,0.969
244,-0.379,0.152,1.246
245,-0.098,0.094,1.078
246,0.070,-0.043,0.922
247,-0.020,0.160,1.035
248,0.129,0.078,0.848
249,-0.004,-0.148,0.832
250,0.027,0.043,1.020
251,-0.172,0.133,1.223
252,0.074,0.016,1.000
253,0.027,0.016,0.992
254,0.070,0.160,0.914
255,-0.195,-0.242,0.906
256,0.090,-0.133,1.145
257,-0.098,0.164,1.211
258,0.043,-0.109,0.836
259,0.270,-0.051,0.816
260,0.012,-0.023,0.918
261,-0.016,-0.070,0.961
262,-0.098,0.027,1.184
263,-0.129,-0.055,1.062
264,-0.129,-0.055,1.062
265,-0.148,0.078,0.988
266,-0.082,0.129,1.016
267,-0.023,-0.055,0.973
268,-0.023,-0.211,0.809
269,-0.078,-0.023,0.996
270,0.027,0.059,1.152
271,-0.027,-0.082,0.914
272,0.164,0.152,1.035
273,-0.004,0.059,0.910
274,0.160,-0.266,0.777
275,-0.004,-0.234,0.980
276,-0.324,0.129,1.340
277,-0.070,0.102,1.176
278,-0.043,0.031,0.926
279,0.066,0.023,0.930
280,-0.004,-0.113,0.891
281,-0.055,-0.148,1.098
282,0.078,0.066,1.016
283,0.086,0.090,0.906
284,0.105,0.008,0.863
285,0.191,-0.086,0.859
286,-0.066,-0.254,0.844
287,-0.176,-0.105,1.133
288,-0.066,0.117,1.219
289,0.098,0.133,1.062
290,0.105,0.090,0.863
291,0.230,-0.121,0.906
292,0.016,-0.062,1.020
293,0.312,0.051,1.043
294,-0.168,-0.020,1.062
295,0.223,0.152,0.977
296,-0.262,0.051,0.965
297,-0.098,-0.086,0.938
298,-0.238,-0.129,1.141
299,-0.273,0.070,1.020
300,0.031,0.078,0.961
301,0.020,-0.008,0.855
302,0.121,0.078,1.027
303,0.055,-0.051,0.898
304,-0.008,-0.125,0.973
305,-0.090,0.016,1.031
306,-0.238,0.004,1.082
307,-0.055,0.020,1.086
308,-0.305,-0.090,0.965
309,0.043,-0.180,1.035
310,-0.234,-0.090,0.969
311,0.156,-0.105,1.055
312,0.082,0.004,0.965
313,0.172,0.055,0.922
314,0.148,0.020,0.938
315,0.051,-0.156,0.879
316,0.078,-0.250,0.895
317,-0.059,-0.047,1.051
318,-0.031,0.094,1.059
319,-0.039,0.031,0.984
320,0.258,-0.004,1.035
321,-0.086,0.020,0.980
322,0.203,0.086,1.016
323,0.016,0.105,1.008
324,0.098,0.133,1.152
325,-0.012,0.012,0.953
326,0.234,0.027,0.953
327,-0.234,0.375,1.098
328,-0.133,-0.027,0.922
329,0.027,-0.145,0.938
330,-0.453,0.051,1.102
331,-0.055,0.055,1.043
332,-0.395,0.027,0.945
333,0.121,-0.109,0.883
334,0.035,-0.082,0.879
335,0.047,0.035,0.879
336,0.156,-0.176,0.949
337,-0.004,-0.215,1.066
338,-0.172,-0.156,1.023
339,-0.023,-0.117,1.168
340,-0.125,-0.012,1.043
341,0.051,-0.223,0.902
342,0.152,-0.137,0.992
343,-0.012,0.113,1.145
344,-0.059,0.164,1.047
345,0.402,-0.082,0.848
346,0.145,-0.004,0.871
347,0.020,0.137,1.008
348,0.047,-0.035,0.961
349,-0.215,-0.062,0.980
350,0.051,-0.113,0.965
351,-0.254,0.043,1.012
352,-0.109,0.055,1.102
353,-0.074,-0.125,0.934
354,0.062,-0.043,0.973
355,-0.055,0.098,1.086
356,0.027,-0.102,1.031
357,0.066,-0.066,0.914
358,-0.043,-0.082,0.953
359,-0.055,-0.039,1.051
360,-0.113,0.062,0.992
361,-0.098,-0.121,0.902
362,-0.090,-0.152,1.074
363,-0.203,-0.016,1.090
364,-0.172,0.004,0.969
365,0.113,-0.008,1.004
366,-0.047,0.117,0.965
367,0.230,-0.059,0.840
368,0.008,-0.035,0.941
369,-0.012,0.031,1.082
370,-0.086,-0.031,1.086
371,0.094,-0.020,0.969
372,0.020,0.074,0.957
373,0.176,0.129,1.016
374,0.004,0.047,0.980
375,0.211,0.027,1.023
376,0.117,0.145,1.035
377,0.109,0.152,1.051
378,0.156,0.039,0.973
379,0.090,0.008,0.926
380,-0.035,0.031,1.012
381,-0.121,-0.012,1.090
382,-0.160,-0.012,1.016
383,-0.250,-0.113,0.961
384,-0.250,-0.113,0.961
385,-0.086,-0.109,1.008
386,-0.199,-0.027,0.914
387,-0.051,-0.211,0.898
388,0.031,-0.277,0.832
389,0.031,-0.184,1.070
390,-0.102,-0.102,1.016
391,0.133,-0.062,1.074
392,-0.031,-0.047,0.957
393,0.062,0.012,0.934
394,-0.113,-0.359,0.797
395,0.141,-0.059,1.102
396,-0.508,0.398,1.352
397,0.129,0.281,1.109
398,-0.035,0.008,0.828
399,0.348,0.035,0.902
400,-0.055,-0.031,0.973
401,0.195,0.066,1.023
402,0.113,0.188,1.098
403,0.102,0.188,0.961
404,0.117,-0.055,0.797
405,0.098,-0.262,0.781
406,-0.039,-0.027,1.074
407,-0.191,0.227,1.219
408,-0.223,0.145,1.098
409,0.172,-0.156,0.895
410,0.012,-0.059,1.070
411,-0.160,0.027,1.020
412,0.043,-0.113,0.891
413,0.078,-0.133,0.883
414,-0.008,0.012,1.004
415,-0.262,0.031,1.082
416,-0.164,-0.105,0.965
417,-0.215,-0.133,0.969
418,-0.297,0.004,1.078
419,-0.035,0.059,1.086
420,-0.188,-0.086,0.941
421,0.250,-0.031,0.891
422,-0.086,-0.031,0.898
423,0.285,-0.070,0.938
424,-0.070,-0.105,0.969
425,0.223,-0.059,0.961
426,-0.105,-0.168,0.961
427,0.184,-0.016,1.066
428,-0.191,0.094,1.148
429,0.102,0.094,1.094
430,-0.043,-0.059,1.004
431,0.176,-0.027,1.027
432,0.023,0.082,1.129
433,0.078,0.059,0.961
434,0.246,-0.043,0.832
435,0.133,-0.148,0.863
436,0.070,0.008,0.891
437,-0.168,-0.055,0.977
438,-0.082,-0.078,0.992
439,-0.195,0.113,1.094
440,-0.117,0.141,1.047
441,-0.289,-0.055,0.953
