Sample,X,Y,Z
210,0.043,0.176,1.020
211,-0.117,0.238,1.031
212,0.047,0.234,1.066
213,0.078,0.344,1.004
214,-0.012,0.348,1.004
215,0.098,0.223,0.895
216,0.152,0.121,0.941
217,-0.148,0.168,1.055
218,-0.027,0.277,1.086
219,-0.137,0.367,1.078
220,-0.039,0.457,0.957
221,0.020,0.246,0.832
222,-0.059,0.051,0.910
223,-0.172,0.160,1.176
224,0.004,0.332,1.047
225,0.000,0.344,0.883
226,0.270,0.090,0.789
227,0.070,-0.254,0.906
228,0.008,-0.230,1.062
229,-0.176,-0.309,1.152
230,0.008,0.055,1.078
231,0.027,-0.031,1.078
232,0.160,-0.395,0.859
233,0.023,-0.531,0.891
234,-0.113,-0.191,1.117
235,-0.137,0.012,1.148
236,0.223,-0.051,0.992
237,0.043,0.016,0.941
238,0.066,0.031,0.789
239,-0.129,-0.156,0.906
240,-0.148,0.098,1.180
241,-0.109,0.285,1.148
242,0.039,0.184,0.883
243,0.164,0.148,0.867
244,0.180,0.199,0.945
245,-0.043,0.207,1.090
246,0.082,-0.078,1.008
247,-0.039,-0.160,0.891
248,0.250,0.316,1.031
249,-0.137,0.125,1.043
250,0.129,-0.164,0.926
251,-0.250,-0.266,0.980
252,-0.094,0.027,1.176
253,-0.355,-0.242,0.988
254,0.191,-0.219,0.996
255,-0.320,0.027,1.008
256,0.129,-0.113,0.902
257,-0.145,-0.262,0.977
258,0.109,-0.168,1.004
259,0.008,0.078,1.051
260,0.090,0.094,0.902
261,0.125,-0.066,0.824
262,-0.035,-0.008,1.027
263,-0.223,0.141,1.172
264,-0.172,-0.004,1.098
265,-0.039,0.098,0.934
266,-0.004,0.273,0.988
267,0.105,0.184,0.984
268,0.031,-0.148,0.832
269,0.105,-0.133,1.008
270,0.094,0.051,1.125
271,-0.012,0.152,1.047
272,0.203,-0.039,0.883
273,0.254,-0.242,0.738
274,-0.078,-0.500,0.902
275,-0.133,-0.145,1.297
276,-0.117,0.262,1.387
277,0.008,0.012,0.895
278,0.469,-0.207,0.719
279,0.156,-0.254,0.785
280,-0.250,0.184,1.223
281,-0.148,-0.004,1.059
282,0.047,-0.098,0.992
283,0.000,0.410,1.020
284,-0.250,0.238,0.848
285,0.094,-0.238,0.832
286,-0.555,-0.051,1.199
287,0.094,0.203,1.176
288,-0.188,0.137,0.988
289,0.324,0.246,0.852
290,0.180,-0.090,0.672
291,0.285,-0.293,0.887
292,-0.758,0.113,1.449
293,0.156,0.035,1.129
294,-0.402,-0.160,0.918
295,0.312,0.195,1.074
296,-0.199,-0.223,0.836
297,0.191,-0.477,0.770
298,-0.250,-0.082,1.254
299,-0.090,0.113,1.141
300,0.293,-0.105,0.883
301,0.109,-0.090,0.770
302,0.312,-0.312,0.898
303,-0.016,-0.102,0.969
304,-0.160,0.168,1.184
305,-0.008,0.055,1.000
306,0.359,-0.016,0.867
307,-0.172,0.027,0.973
308,0.023,0.211,1.223
309,-0.211,0.109,1.027
310,0.145,0.027,0.977
311,0.145,0.109,0.945
312,0.145,0.109,0.945
313,0.281,0.195,0.852
314,-0.090,0.133,1.027
315,-0.090,0.074,1.070
316,-0.363,-0.223,0.965
317,-0.160,-0.090,1.082
318,-0.168,0.305,1.117
319,-0.043,0.145,0.918
320,0.066,-0.289,0.824
321,-0.129,-0.117,1.082
322,-0.117,0.094,1.160
323,0.176,-0.203,0.918
324,0.191,-0.004,0.895
325,0.047,0.035,0.945
326,0.000,-0.273,0.883
327,-0.152,-0.363,1.066
328,-0.219,-0.020,1.184
329,-0.129,0.195,1.160
330,0.004,0.051,0.926
331,0.250,-0.129,0.832
332,0.172,-0.059,0.867
333,0.090,0.008,0.953
334,0.199,0.141,1.035
335,0.066,0.031,1.016
336,0.145,-0.137,0.852
337,-0.102,-0.109,0.973
338,-0.137,-0.016,1.141
339,-0.414,-0.109,1.062
340,0.102,-0.145,1.105
341,-0.121,0.082,1.051
342,0.102,0.129,0.914
343,0.004,-0.059,0.898
344,0.180,-0.156,0.973
345,-0.258,-0.035,1.027
346,-0.023,0.062,1.062
347,-0.004,0.023,0.949
348,-0.152,0.027,0.934
349,0.016,-0.020,1.055
350,-0.363,-0.188,1.004
351,-0.090,-0.098,0.965
352,-0.035,0.004,1.086
353,0.035,0.078,1.000
354,0.152,0.109,0.902
355,0.121,-0.117,0.801
356,0.102,-0.102,0.977
357,-0.180,-0.141,1.086
358,0.098,0.051,1.133
359,-0.125,0.258,1.133
360,-0.125,0.258,1.133
361,0.141,0.180,0.973
362,0.062,-0.191,0.746
363,0.191,-0.266,0.945
364,0.090,0.129,1.164
365,0.062,0.547,1.203
366,0.379,0.082,0.832
367,0.305,-0.215,0.785
368,0.074,0.043,1.016
369,-0.363,0.008,1.164
370,0.023,0.105,1.109
371,-0.289,-0.039,1.059
372,-0.035,-0.016,0.867
373,-0.336,-0.129,0.977
374,-0.012,-0.148,0.953
375,-0.203,-0.117,1.008
376,-0.004,0.035,0.977
377,0.062,-0.113,0.902
378,0.062,-0.215,0.887
379,-0.262,-0.164,1.000
380,0.039,-0.105,1.055
381,-0.234,0.020,1.090
382,0.090,-0.086,0.875
383,0.148,-0.148,0.793
384,0.074,0.023,1.086
385,-0.129,0.398,1.227
386,0.125,0.145,1.055
387,0.242,-0.148,0.914
388,-0.047,-0.074,0.984
389,0.266,0.203,1.176
390,-0.293,0.039,0.922
391,0.410,-0.086,0.867
392,0.195,0.047,1.023
393,0.004,0.098,0.910
394,0.008,-0.199,0.887
395,0.047,-0.051,1.105
396,-0.414,0.293,1.188
397,0.082,0.055,1.098
398,0.066,-0.145,0.887
399,-0.035,-0.016,0.887
400,0.137,0.035,0.984
401,-0.145,0.090,0.926
402,-0.125,-0.156,0.891
403,0.047,-0.059,1.051
404,-0.527,0.141,1.020
405,0.066,0.105,0.992
406,-0.383,-0.062,0.930
407,-0.293,-0.250,1.031
408,-0.293,-0.250,1.031
409,0.219,-0.020,1.172
410,-0.027,0.156,0.988
411,0.141,-0.070,0.734
412,0.418,-0.363,0.848
413,-0.035,-0.355,0.980
414,-0.223,-0.039,1.281
415,0.074,-0.016,1.133
416,-0.152,-0.020,0.906
