Sample,X,Y,Z
210,0.176,-0.023,0.941
211,0.535,-0.438,0.730
212,0.266,-0.004,1.090
213,0.258,0.137,1.070
214,0.359,-0.094,0.898
215,0.539,-0.172,0.879
216,0.223,0.043,0.965
217,-0.086,-0.012,0.941
218,0.027,-0.203,0.992
219,-0.176,0.039,1.094
220,-0.172,0.176,1.121
221,-0.012,0.051,0.988
222,0.180,0.047,0.992
223,0.066,-0.043,0.977
224,0.309,0.043,1.062
225,0.207,0.094,1.070
226,0.367,-0.129,0.820
227,0.516,-0.203,0.906
228,0.184,0.031,1.098
229,0.145,0.047,1.059
230,0.141,-0.168,0.859
231,0.160,-0.242,0.926
232,0.164,0.090,1.164
233,-0.156,0.137,1.047
234,0.184,-0.086,0.938
235,0.105,-0.129,0.945
236,-0.098,0.074,1.008
237,-0.242,0.094,1.020
238,-0.082,-0.152,0.902
239,-0.277,0.070,0.930
240,-0.238,0.168,1.035
241,-0.414,-0.078,0.992
242,-0.367,-0.059,1.121
243,-0.367,-0.133,1.090
244,0.035,-0.023,1.031
245,-0.012,0.234,0.953
246,-0.004,0.051,0.844
247,0.223,-0.375,0.762
248,-0.043,-0.199,0.973
249,-0.418,0.156,1.188
250,-0.070,0.090,1.055
251,-0.312,-0.082,0.980
252,-0.047,-0.027,1.027
253,-0.145,-0.047,0.988
254,-0.070,0.004,1.035
255,0.309,0.105,1.035
256,0.195,0.109,0.957
257,0.398,-0.008,0.938
258,0.367,-0.156,0.922
259,0.004,-0.148,1.008
260,0.273,-0.027,1.102
261,-0.004,0.078,1.059
262,0.160,0.016,0.938
263,0.141,-0.141,0.863
264,0.059,-0.180,0.949
265,0.090,0.086,1.191
266,-0.129,0.246,1.062
267,0.242,0.082,0.879
268,0.105,-0.148,0.859
269,-0.184,-0.148,1.016
270,-0.129,0.016,1.113
271,-0.336,0.039,0.988
272,-0.078,0.027,0.840
273,-0.121,-0.145,0.852
274,-0.383,-0.121,1.027
275,-0.348,-0.062,1.184
276,-0.234,-0.137,1.078
277,-0.090,0.070,1.066
278,0.156,0.219,1.047
279,-0.008,-0.020,0.832
280,0.160,-0.148,0.961
281,-0.008,0.090,1.074
282,-0.055,0.344,1.051
283,-0.031,0.336,0.941
284,-0.152,-0.129,0.805
285,-0.016,-0.379,0.902
286,-0.418,0.090,1.270
287,-0.051,0.289,1.227
288,0.027,0.070,0.965
289,0.570,-0.289,0.645
290,0.453,-0.402,0.797
291,0.234,-0.059,1.012
292,0.062,-0.078,1.070
293,0.297,0.137,1.062
294,-0.031,-0.035,0.953
295,0.199,-0.102,1.051
296,-0.367,0.098,1.227
297,-0.090,0.141,1.176
298,0.043,0.004,1.059
299,0.297,0.344,0.961
300,0.074,0.250,0.809
301,0.238,-0.434,0.527
302,-0.043,-0.602,0.859
303,-0.363,0.281,1.473
304,-0.441,0.449,1.164
305,-0.180,-0.246,0.684
306,0.375,-0.555,0.711
307,-0.551,-0.227,1.051
308,-0.320,0.301,1.379
309,0.039,0.051,1.059
310,0.160,0.070,0.840
311,0.312,-0.020,0.855
312,0.312,-0.020,0.855
