Sample,X,Y,Z
0,0.0259,-0.0844,1.0266
1,-0.0009,-0.1049,1.0378
2,-0.0052,-0.1035,1.0581
3,-0.0095,-0.1011,1.0609
4,-0.0151,-0.1059,1.0522
5,-0.0102,-0.1061,1.0635
6,-0.0142,-0.1055,1.0652
7,-0.0129,-0.1054,1.0562
8,-0.0073,-0.1071,1.0583
9,-0.0088,-0.1042,1.0609
10,-0.0081,-0.1057,1.0672
11,-0.0052,-0.1038,1.0599
12,-0.0108,-0.1013,1.0546
13,-0.0131,-0.1041,1.0560
14,-0.0125,-0.1019,1.0605
15,-0.0148,-0.1019,1.0589
16,-0.0077,-0.1058,1.0604
17,-0.0109,-0.1011,1.0581
18,-0.0073,-0.1035,1.0586
19,-0.0093,-0.1100,1.0581
20,-0.0073,-0.0949,1.0518
21,-0.0011,-0.0862,1.0585
22,-0.0042,-0.1096,1.0597
23,-0.0053,-0.1001,1.0583
24,-0.0070,-0.1024,1.0588
25,-0.0033,-0.1038,1.0638
26,-0.0089,-0.1038,1.0638
27,-0.0112,-0.1017,1.0588
28,-0.0100,-0.1036,1.0615
29,-0.0044,-0.1019,1.0586
30,-0.0129,-0.1021,1.0624
31,-0.0087,-0.1074,1.0621
32,-0.0052,-0.1075,1.0613
33,-0.0063,-0.1073,1.0678
34,-0.0074,-0.1059,1.0621
35,-0.0136,-0.1071,1.0555
36,-0.0082,-0.1038,1.0621
37,-0.0123,-0.1078,1.0623
38,-0.0091,-0.1063,1.0631
39,-0.0099,-0.1044,1.0594
40,-0.0073,-0.1071,1.0583
41,-0.0120,-0.1169,1.0593
42,-0.0110,-0.1122,1.0718
43,-0.0059,-0.1036,1.0580
44,-0.0043,-0.1037,1.0527
45,-0.0014,-0.1077,1.0583
46,-0.0103,-0.1024,1.0554
47,-0.0078,-0.1051,1.0579
48,-0.0099,-0.1112,1.0589
49,-0.0067,-0.1051,1.0584
50,-0.0096,-0.1031,1.0601
51,-0.0107,-0.1038,1.0537
52,-0.0127,-0.1018,1.0601
53,-0.0048,-0.1022,1.0573
54,-0.0042,-0.1015,1.0608
55,-0.0077,-0.1057,1.0623
56,-0.0062,-0.1084,1.0630
57,-0.0124,-0.1028,1.0666
58,-0.0122,-0.1053,1.0666
59,-0.0103,-0.1052,1.0648
60,-0.0099,-0.1257,1.0678
61,-0.0050,-0.1132,1.0508
62,-0.0067,-0.1083,1.0621
63,-0.0089,-0.1087,1.0594
64,-0.0068,-0.1028,1.0602
65,-0.0065,-0.1050,1.0661
66,-0.0057,-0.1047,1.0546
67,-0.0131,-0.1047,1.0621
68,-0.0083,-0.1116,1.0557
69,-0.0131,-0.1028,1.0561
70,-0.0121,-0.0993,1.0618
71,-0.0127,-0.1076,1.0591
72,-0.0101,-0.1077,1.0538
73,-0.0098,-0.1044,1.0551
74,-0.0099,-0.1003,1.0600
75,-0.0031,-0.1024,1.0565
76,-0.0059,-0.1013,1.0557
77,-0.0085,-0.1028,1.0635
78,-0.0067,-0.1052,1.0607
79,-0.0035,-0.1094,1.0633
80,-0.0034,-0.0980,1.0633
81,-0.0043,-0.1143,1.0635
82,-0.0055,-0.1028,1.0610
83,-0.0046,-0.1033,1.0576
84,-0.0141,-0.1051,1.0631
85,-0.0062,-0.1057,1.0603
86,-0.0067,-0.1044,1.0619
87,-0.0057,-0.1062,1.0655
88,-0.0097,-0.1033,1.0615
89,-0.0093,-0.1038,1.0600
90,-0.0148,-0.1018,1.0632
91,-0.0103,-0.1079,1.0585
92,-0.0104,-0.1015,1.0585
93,-0.0072,-0.1010,1.0558
94,-0.0103,-0.1041,1.0607
95,-0.0126,-0.0999,1.0588
96,-0.0099,-0.1029,1.0568
97,-0.0074,-0.1086,1.0547
98,-0.0070,-0.1079,1.0534
99,-0.0067,-0.1077,1.0558
100,-0.0011,-0.0610,1.0552
101,-0.0007,-0.0846,1.0659
102,-0.0106,-0.1080,1.0652
103,-0.0067,-0.1057,1.0631
104,-0.0126,-0.1026,1.0630
105,-0.0082,-0.1042,1.0629
106,-0.0073,-0.1078,1.0646
107,-0.0033,-0.1047,1.0633
108,0.0250,-0.0901,1.0641
109,0.0402,-0.0370,1.0580
110,-0.0224,0.1100,1.0275
111,-0.1271,0.2412,1.0337
112,-0.1451,0.2412,1.0804
113,-0.0537,0.1714,1.0811
114,0.0410,0.1742,1.0605
115,0.0720,0.2570,1.0124
116,0.0145,0.3403,1.0495
117,-0.0836,0.4460,1.0891
118,-0.1506,0.5043,1.0815
119,-0.1491,0.4827,1.1096
120,-0.0602,0.3575,1.1534
121,0.0229,0.2187,1.1739
122,0.0671,0.2021,1.1193
123,0.0491,0.1736,1.0655
124,0.0668,0.1044,1.0844
125,0.0521,0.1008,1.1213
126,-0.0421,0.1418,1.1279
127,-0.0791,0.0500,1.1223
128,0.0082,-0.0987,1.1021
129,0.2224,-0.1574,1.0033
130,0.2965,0.0004,0.8210
131,0.0775,0.2199,0.8358
132,-0.2091,0.2883,1.0674
133,-0.3026,0.1722,1.1923
134,-0.0412,-0.1436,1.2856
135,0.2740,-0.3079,1.2972
136,0.2977,-0.0812,1.1244
137,0.0620,0.2747,0.9019
138,-0.1979,0.4953,0.8400
139,-0.3362,0.5357,0.8616
140,-0.2490,0.3209,1.1479
141,0.0830,-0.0229,1.2894
142,0.3565,-0.2314,1.2341
143,0.2764,-0.0358,1.1494
144,-0.0139,0.3259,0.9907
145,-0.3298,0.6240,0.8851
146,-0.4199,0.6370,0.8973
147,-0.1848,0.3635,0.9641
148,0.1656,-0.0488,1.2003
149,0.4326,-0.3467,1.3864
150,0.2595,-0.0339,1.2930
151,-0.2155,0.5260,0.9700
152,-0.4668,0.6498,0.8625
153,-0.2666,0.3703,0.9671
154,0.0707,0.0310,1.0389
155,0.3937,-0.3786,1.3167
156,0.4312,-0.3057,1.3588
157,-0.0317,0.2565,1.0505
158,-0.3129,0.4833,0.9937
159,-0.2077,0.3634,0.8903
160,-0.1031,0.1634,0.9923
161,0.1514,-0.2585,1.1829
162,0.3768,-0.3263,1.2558
163,0.1290,0.1151,0.9772
164,-0.1445,0.4311,0.8314
165,-0.1924,0.3279,1.0104
166,-0.2478,0.3640,1.0693
167,-0.0598,0.1862,1.1024
168,0.2094,-0.1584,1.1982
169,0.3479,-0.2425,1.2942
170,0.0918,0.2018,1.0134
171,-0.1791,0.5677,0.7480
172,-0.2720,0.4174,0.9376
173,-0.2328,0.2607,1.1328
174,-0.0624,0.1271,1.1400
175,0.2205,-0.1970,1.2408
176,0.3549,-0.2135,1.3324
177,0.1193,0.2895,0.9802
178,-0.2631,0.5716,0.9161
179,-0.2972,0.4050,0.9933
180,-0.2421,0.3022,1.0405
181,-0.2421,0.3022,1.0405
182,-0.0635,0.0529,1.2074
183,0.2840,-0.2980,1.3424
184,0.3583,-0.0742,1.1593
185,-0.0083,0.4206,0.8493
186,-0.2448,0.4703,0.9347
187,-0.3181,0.4101,0.9947
188,-0.2769,0.3688,1.0031
189,-0.0095,0.0189,1.1414
190,0.3659,-0.2661,1.3209
191,0.3073,0.0141,1.1077
192,-0.0891,0.3840,0.9025
193,-0.3173,0.4324,0.9600
194,-0.3499,0.3875,0.9262
195,-0.0869,0.0002,1.1868
196,0.3675,-0.2896,1.2922
197,0.3322,-0.1400,1.1584
198,-0.0146,0.1874,1.0639
199,-0.2634,0.3806,0.9581
200,-0.3167,0.4348,0.9393
201,-0.1797,0.1676,1.1324
