Sample,X,Y,Z
0,-0.0563,-0.1030,0.7283
1,-0.0050,-0.1014,1.0357
2,-0.0111,-0.1021,1.0633
3,-0.0029,-0.1069,1.0576
4,-0.0084,-0.1089,1.0641
5,-0.0154,-0.1011,1.0647
6,-0.0103,-0.1055,1.0662
7,-0.0090,-0.1021,1.0629
8,-0.0115,-0.1033,1.0643
9,-0.0094,-0.1060,1.0611
10,-0.0133,-0.1037,1.0599
11,-0.0109,-0.1025,1.0564
12,-0.0056,-0.1035,1.0651
13,-0.0052,-0.1051,1.0615
14,-0.0048,-0.1033,1.0618
15,-0.0026,-0.1049,1.0599
16,-0.0057,-0.1044,1.0588
17,-0.0090,-0.1110,1.0615
18,-0.0070,-0.1035,1.0632
19,-0.0045,-0.1027,1.0573
20,-0.0183,-0.1083,1.0696
21,-0.0092,-0.0944,1.0471
22,-0.0072,-0.1038,1.0536
23,-0.0027,-0.1017,1.0559
24,-0.0060,-0.1040,1.0564
25,-0.0076,-0.1016,1.0608
26,-0.0110,-0.1046,1.0611
27,-0.0037,-0.1076,1.0642
28,-0.0074,-0.1036,1.0663
29,-0.0111,-0.1059,1.0655
30,-0.0052,-0.1021,1.0616
31,-0.0106,-0.0989,1.0659
32,-0.0084,-0.1013,1.0629
33,-0.0045,-0.1081,1.0613
34,-0.0070,-0.1055,1.0598
35,-0.0092,-0.1052,1.0606
36,-0.0087,-0.1031,1.0639
37,-0.0082,-0.1049,1.0601
38,-0.0018,-0.1084,1.0613
39,-0.0046,-0.1068,1.0605
40,-0.0125,-0.1096,1.0637
41,-0.0075,-0.0938,1.0726
42,-0.0065,-0.1025,1.0595
43,-0.0085,-0.1038,1.0609
44,-0.0065,-0.1058,1.0642
45,-0.0098,-0.1026,1.0596
46,-0.0060,-0.1019,1.0579
47,-0.0099,-0.1018,1.0623
48,-0.0089,-0.1044,1.0612
49,-0.0063,-0.1057,1.0566
50,-0.0079,-0.1083,1.0591
51,-0.0098,-0.1088,1.0640
52,-0.0067,-0.1080,1.0601
53,-0.0041,-0.1055,1.0573
54,-0.0097,-0.1049,1.0649
55,-0.0065,-0.1030,1.0620
56,-0.0038,-0.1051,1.0584
57,-0.0071,-0.1052,1.0609
58,-0.0115,-0.1114,1.0602
59,-0.0102,-0.1032,1.0621
60,-0.0070,-0.0750,1.0590
61,-0.0029,-0.0967,1.0745
62,-0.0093,-0.1047,1.0583
63,-0.0065,-0.1049,1.0631
64,-0.0124,-0.1075,1.0615
65,-0.0179,-0.1052,1.0625
66,-0.0103,-0.1003,1.0609
67,-0.0106,-0.1063,1.0625
68,-0.0102,-0.1107,1.0586
69,-0.0078,-0.1044,1.0579
70,-0.0087,-0.1067,1.0590
71,-0.0055,-0.1050,1.0652
72,-0.0016,-0.1073,1.0609
73,-0.0084,-0.1057,1.0609
74,-0.0101,-0.1038,1.0618
75,-0.0046,-0.1026,1.0565
76,-0.0062,-0.1055,1.0593
77,-0.0122,-0.1003,1.0609
78,-0.0023,-0.1055,1.0601
79,-0.0040,-0.1074,1.0661
80,-0.0143,-0.1000,1.0485
81,-0.0052,-0.1050,1.0605
82,-0.0102,-0.1100,1.0665
83,-0.0057,-0.1103,1.0657
84,-0.0131,-0.1041,1.0632
85,-0.0107,-0.1065,1.0569
86,-0.0062,-0.1028,1.0597
87,-0.0082,-0.0993,1.0671
88,-0.0121,-0.1040,1.0607
89,-0.0048,-0.1104,1.0591
90,-0.0013,-0.1046,1.0647
91,-0.0101,-0.1064,1.0574
92,-0.0010,-0.1058,1.0556
93,-0.0026,-0.1040,1.0585
94,-0.0071,-0.1032,1.0662
95,-0.0097,-0.1041,1.0606
96,-0.0067,-0.1041,1.0555
97,-0.0043,-0.1066,1.0645
98,-0.0085,-0.1045,1.0596
99,-0.0130,-0.1033,1.0585
100,-0.0082,-0.1129,1.0540
101,-0.0011,-0.1198,1.0791
102,-0.0080,-0.1064,1.0631
103,-0.0091,-0.1032,1.0616
104,-0.0059,-0.1064,1.0591
105,-0.0068,-0.1050,1.0619
106,-0.0063,-0.1025,1.0603
107,-0.0101,-0.1021,1.0672
108,-0.0180,-0.1011,1.0740
109,-0.0188,-0.1191,1.0811
110,0.0317,-0.1272,1.0799
111,0.0688,-0.1137,1.0513
112,0.0671,-0.0713,1.0211
113,0.0449,-0.0618,1.0055
114,0.1076,-0.1552,1.0060
115,0.2102,-0.2967,1.0612
116,0.3254,-0.4019,1.0888
117,0.4701,-0.4052,1.0559
118,0.5368,-0.2528,0.9580
119,0.5203,-0.0146,0.8714
120,0.4395,0.1967,0.8328
121,0.3796,0.2775,0.8774
122,0.3821,0.1450,1.0538
123,0.5015,-0.1637,1.2618
124,0.6956,-0.4385,1.3969
125,0.8118,-0.4601,1.3898
126,0.7188,-0.1512,1.2446
127,0.3577,0.3331,1.0159
128,0.0217,0.5341,0.8816
129,0.1585,0.0797,0.9651
130,0.8627,-0.7908,1.1956
131,1.3337,-1.0671,1.3223
132,0.7915,-0.2605,1.1731
133,-0.1768,0.6394,0.9630
134,-0.5259,0.6811,0.9482
135,-0.3191,0.3005,1.0518
136,0.2319,-0.3847,1.1561
137,0.9991,-1.2930,1.3333
138,0.9708,-1.1503,1.6177
139,0.0704,0.1266,1.0224
140,-0.8941,1.1122,0.5866
141,-0.9746,0.9471,0.6371
142,-0.2563,-0.0009,0.7805
143,0.5641,-0.9553,1.2556
144,1.3525,-1.5553,1.2440
145,0.6436,-0.5360,1.3598
146,-0.5884,0.8083,0.7606
147,-1.2148,1.3962,0.6743
148,-0.7701,0.6912,0.5132
149,0.2281,-0.6042,1.2166
150,1.4457,-1.6771,1.3954
151,1.2618,-1.4328,1.8561
152,0.1379,0.2830,0.9849
153,-0.9570,1.3785,0.6199
154,-0.6566,0.9187,0.7177
155,0.2136,0.0546,0.8374
156,1.0427,-0.9300,1.1758
157,1.5545,-1.4927,1.5419
158,1.1764,-0.8516,1.3690
159,-0.1320,0.7985,0.9835
160,-0.6198,1.1564,0.7571
161,-0.0275,0.2617,1.0515
162,0.5230,-0.2751,1.1445
163,1.2642,-1.0666,1.2149
164,1.3310,-1.0740,1.3568
165,0.6255,-0.1826,1.0500
166,-0.1052,0.7729,0.8804
167,-0.1665,0.5642,0.8388
168,0.1725,-0.0190,1.1841
169,0.5465,-0.2969,1.0388
170,0.6662,-0.6614,1.2036
171,0.7184,-0.6074,1.1030
172,0.2247,-0.0081,1.1499
173,-0.1361,0.3176,0.9492
174,-0.2371,0.2618,1.0692
175,-0.1313,0.1846,1.0698
176,0.0900,-0.0898,0.9771
177,0.4117,-0.5613,1.1208
178,0.5698,-0.6295,1.2144
