Sample,X,Y,Z
171,0.7106,-0.6522,1.1577
172,0.5291,-0.3922,1.1279
173,0.1130,0.1628,1.0587
174,-0.1436,0.2792,1.0220
175,-0.1443,0.2107,1.0961
176,-0.0151,0.0468,1.0753
177,0.2153,-0.3124,1.0872
178,0.4475,-0.5589,1.1252
179,0.3821,-0.4043,1.0888
180,0.0999,-0.0380,0.9810
181,-0.2766,0.2282,1.0357
182,-0.4368,0.3174,0.9804
183,-0.2056,0.0461,1.0180
184,0.2610,-0.4621,1.0637
185,0.5425,-0.6699,1.1145
186,0.5352,-0.5866,1.1355
187,0.1040,-0.0334,1.0584
188,-0.3852,0.4866,0.9299
189,-0.1723,0.2126,0.9732
190,0.2818,-0.1362,0.9678
191,0.6045,-0.4297,0.9973
192,0.8152,-0.5750,1.0602
193,0.4390,-0.1682,1.0779
194,0.0857,0.1791,1.0864
195,0.0356,0.3104,1.0700
196,0.1663,0.2214,1.0788
197,0.4674,-0.1494,1.0740
198,0.7295,-0.4798,1.1533
199,0.7685,-0.5056,1.1219
200,0.5427,-0.1569,1.1726
201,0.1580,0.2354,1.0329
202,0.0319,0.2874,1.0654
203,0.1901,-0.0128,1.1128
204,0.4738,-0.4024,1.1465
205,0.6650,-0.5977,1.1562
206,0.4708,-0.3599,1.1194
207,0.2142,-0.1429,1.1448
208,0.0386,0.0134,1.0918
209,-0.0436,0.0165,1.0510
210,0.1232,-0.2089,1.0039
211,0.4473,-0.5070,1.0079
212,0.5955,-0.5591,1.0010
213,0.4712,-0.2891,1.0512
214,0.0338,0.2522,0.9186
215,-0.1935,0.4719,0.8773
216,-0.1125,0.2854,0.9546
217,0.1365,0.0392,1.0291
218,0.3638,-0.2682,1.1300
219,0.5278,-0.3337,1.2903
220,0.2105,-0.0024,1.1725
221,-0.0975,0.4028,0.9755
222,-0.2815,0.4634,0.8817
223,-0.1003,0.1597,0.9089
224,0.2571,-0.3364,1.0851
225,0.5839,-0.7209,1.2929
226,0.3873,-0.5222,1.3220
227,0.0414,-0.1040,1.0676
228,-0.1723,0.0764,0.9902
229,0.0215,-0.2587,1.0219
230,0.4133,-0.5542,1.0803
231,0.6533,-0.6263,1.0432
232,0.5719,-0.4251,1.0711
233,0.3884,-0.1346,1.0414
234,0.2595,0.1257,0.9227
235,0.1727,0.2164,0.8987
236,0.3367,-0.0443,1.0858
237,0.5654,-0.2112,1.2334
238,0.3956,-0.0292,1.2565
239,0.1721,0.1501,1.1846
240,0.0469,0.2868,1.0574
241,0.0186,0.2390,0.9683
242,0.1745,-0.0859,0.9824
243,0.4033,-0.3331,1.0450
244,0.4903,-0.4255,1.1234
245,0.4355,-0.2286,1.0580
246,0.1195,0.1194,1.0170
247,0.0193,0.1740,0.8789
248,0.1852,-0.1614,0.9878
249,0.5587,-0.4893,1.0856
250,0.6825,-0.4720,1.1443
251,0.5101,-0.2855,1.1592
252,0.1599,0.0866,1.1306
253,-0.2226,0.3576,1.0678
254,-0.0466,0.0664,1.0811
255,0.2861,-0.3403,1.2042
256,0.4777,-0.5055,1.2597
257,0.3145,-0.2759,1.2084
258,-0.1254,0.2335,1.0020
259,-0.3275,0.3390,0.9433
260,-0.0604,-0.0703,1.0029
261,0.4256,-0.4971,0.9922
262,0.6011,-0.5539,1.0295
263,0.4791,-0.3502,0.9995
264,0.1475,-0.0139,1.0038
265,0.0629,0.1576,0.9036
266,0.2756,-0.0058,0.9177
267,0.4776,-0.2476,1.0115
268,0.6170,-0.3295,1.0458
269,0.4053,-0.1756,1.1479
270,0.1658,0.0034,1.1384
271,0.0183,0.1123,1.2496
272,0.0280,0.0888,1.1463
273,0.0536,0.0024,1.1808
274,0.0362,-0.0491,1.1512
275,0.0684,-0.0950,1.1334
276,0.0061,-0.0547,1.0878
277,-0.0472,-0.0443,1.0789
278,-0.0539,-0.1230,1.0839
279,0.0190,-0.1956,0.9932
280,-0.0642,-0.1750,1.0965
281,-0.0861,-0.2255,1.1152
282,-0.2831,-0.1599,1.2164
283,-0.4549,-0.0267,1.1087
284,-0.3618,-0.1555,1.1648
285,-0.2057,-0.2581,1.0688
286,-0.0590,-0.3917,1.0329
287,-0.0368,-0.2460,0.9108
288,-0.2191,0.0507,0.7252
289,-0.2162,0.0769,0.7622
290,-0.2346,0.0909,0.8418
291,-0.2310,0.0773,0.9350
292,-0.2001,-0.0029,1.0320
293,-0.2498,0.0094,1.0424
294,-0.2250,-0.0828,1.1771
295,-0.1433,-0.1324,1.1816
296,-0.1229,-0.0547,1.1379
297,-0.0139,-0.1784,1.1859
298,0.1296,-0.2430,1.1199
299,0.0712,-0.0591,0.9236
300,0.1832,-0.1556,0.8992
301,0.4593,-0.4779,0.9873
302,0.5376,-0.4478,1.1572
303,0.3442,-0.1576,1.0739
304,0.1990,0.0130,1.1349
305,0.0618,0.0776,1.1512
306,0.0552,0.0119,1.2188
307,0.1656,-0.1531,1.2054
308,0.2058,-0.1724,1.2190
309,0.1586,-0.1512,1.2244
310,0.0327,-0.0410,1.2110
311,-0.1412,0.2068,1.0559
312,-0.1115,0.1385,0.9596
313,0.0070,0.0161,0.9257
314,0.1003,-0.1708,0.9525
315,0.2596,-0.3447,0.9727
316,0.1614,-0.2383,0.9599
317,-0.0108,-0.1579,1.0175
318,-0.1313,-0.0355,0.9791
319,-0.3012,0.0253,1.0140
320,-0.2266,-0.1280,1.0587
321,-0.2321,-0.1699,1.1763
322,-0.1963,-0.2471,1.2074
323,-0.1448,-0.2499,1.1736
324,-0.2477,-0.0092,1.0764
325,-0.3103,0.0905,0.9583
326,-0.3276,0.1326,0.9584
327,-0.2861,0.0917,0.9054
328,-0.0444,-0.1492,1.0371
329,0.0568,-0.2787,1.1064
330,0.0677,-0.2663,1.1226
331,-0.1178,-0.1216,1.0716
332,-0.2986,0.0443,1.0019
333,-0.2321,-0.0891,1.0869
334,-0.0201,-0.2132,1.0818
335,0.0652,-0.3456,1.1439
336,0.2382,-0.4548,1.0878
337,0.1008,-0.2263,1.0637
338,-0.0438,0.0902,0.8506
339,-0.0665,0.1094,1.0216
340,0.1252,0.0436,0.9661
341,0.1851,-0.0094,1.0971
342,0.2750,-0.1086,1.0723
343,0.2366,-0.0264,1.0276
344,0.1896,-0.0728,1.0668
345,0.2198,-0.1149,1.1269
346,0.0475,-0.0386,1.2215
347,0.0332,-0.0195,1.1929
348,-0.0841,0.0013,1.2095
349,-0.0421,-0.1021,1.1030
350,0.1051,-0.3090,1.0839
351,0.2855,-0.5262,1.1191
352,0.2416,-0.3760,1.0562
353,-0.0258,0.0139,1.0206
354,-0.2263,0.2504,0.8618
355,-0.2192,0.1582,0.8974
356,-0.0499,-0.1415,0.9710
357,0.2541,-0.4480,1.0263
358,0.1450,-0.3049,1.1677
359,-0.1205,0.0004,1.1378
360,-0.4381,0.2741,1.1671
361,-0.5170,0.2845,1.0834
362,-0.3682,0.0427,1.0413
363,-0.0114,-0.2686,1.0408
364,0.2961,-0.5484,1.0580
365,0.2237,-0.4034,1.1990
366,-0.1316,0.0065,0.9557
367,-0.4089,0.3196,0.8558
368,-0.3271,0.0839,0.8452
369,-0.0627,-0.2155,1.0411
370,0.0922,-0.3879,1.0175
371,0.1199,-0.4421,1.2369
372,-0.1103,-0.1810,1.2346
373,-0.3642,0.1888,1.1554
374,-0.2951,0.2014,1.0168
375,0.0598,-0.1605,1.0407
376,0.3456,-0.3845,1.1268
377,0.2791,-0.3124,1.0685
378,0.3000,-0.2536,1.0181
379,0.1346,-0.0442,1.0383
380,0.0653,0.0836,1.0585
381,0.1889,-0.0680,1.0630
382,0.0856,0.0666,1.0314
383,-0.0402,0.0635,1.0208
384,0.0798,-0.1877,1.1089
385,0.1181,-0.2129,1.0975
386,0.1624,-0.2798,1.1445
387,0.0784,-0.1472,1.1393
388,-0.1945,0.1677,0.9866
389,-0.1227,0.0163,1.0296
390,0.0371,-0.1701,0.9333
391,0.2227,-0.3603,1.0173
392,0.3574,-0.4262,1.1049
