Sample,X,Y,Z
209,0.398,-0.004,0.922
210,0.410,-0.227,0.922
211,0.434,-0.094,1.031
212,0.145,-0.027,1.051
213,0.387,-0.066,1.012
214,0.270,-0.043,1.031
215,0.594,-0.219,0.871
216,0.160,-0.039,0.926
217,0.238,0.113,1.000
218,0.137,-0.020,1.012
219,0.164,-0.016,1.035
220,0.270,0.078,1.039
221,0.125,0.105,0.984
222,0.207,-0.121,0.969
223,0.355,-0.047,1.027
224,0.008,0.055,1.086
225,0.625,-0.090,0.930
226,0.340,-0.066,0.930
227,0.391,-0.008,1.000
228,0.383,0.000,0.996
229,-0.055,-0.109,0.949
230,0.453,-0.031,0.938
231,-0.191,0.086,1.047
232,-0.031,0.043,1.023
233,-0.020,0.062,1.035
234,-0.215,0.074,0.953
235,0.008,-0.113,0.992
236,0.008,-0.078,1.082
237,0.145,0.070,1.047
238,0.219,0.074,1.012
239,0.426,-0.145,0.863
240,0.113,-0.172,0.832
241,0.344,-0.059,0.969
242,-0.117,-0.141,0.941
243,0.105,0.008,1.141
244,-0.129,0.074,1.152
245,-0.078,0.035,1.008
246,0.109,-0.066,0.980
247,0.078,-0.090,0.941
248,0.188,0.070,1.023
249,0.195,0.121,0.961
250,0.105,0.035,0.914
251,0.184,-0.070,0.871
252,-0.070,-0.082,0.930
253,-0.191,-0.020,1.078
254,-0.293,0.031,1.152
255,-0.238,-0.121,1.035
256,-0.078,-0.129,1.074
257,0.113,0.074,1.055
258,-0.008,0.109,0.891
259,0.336,-0.094,0.727
260,0.133,-0.121,0.887
261,-0.168,0.113,1.113
262,-0.262,-0.051,1.012
263,-0.184,-0.059,0.996
264,-0.434,0.055,1.051
265,-0.191,0.078,1.047
266,-0.355,-0.125,0.980
267,0.082,-0.066,0.922
268,0.027,0.117,1.023
269,0.160,0.133,0.969
270,0.211,-0.074,0.914
271,0.199,-0.199,0.926
272,0.004,-0.117,1.031
273,-0.016,0.016,1.125
274,-0.105,-0.012,1.051
275,-0.031,-0.055,1.016
276,-0.031,-0.020,0.949
277,0.031,-0.016,0.910
278,0.062,0.020,0.980
279,0.031,0.008,1.043
280,0.180,0.004,1.031
281,0.027,0.047,1.004
282,0.145,0.023,0.930
283,0.098,-0.043,0.859
284,0.016,-0.102,0.898
285,-0.137,-0.023,1.016
286,-0.168,0.086,1.113
287,-0.211,0.016,1.082
288,-0.211,0.016,1.082
289,-0.109,-0.066,1.012
290,0.020,-0.035,1.039
291,0.023,0.012,0.973
292,0.078,-0.047,1.008
293,0.105,-0.020,0.953
294,0.043,0.031,0.945
295,0.012,-0.051,0.922
296,-0.188,0.012,0.992
297,-0.383,-0.016,1.008
298,-0.137,-0.035,1.055
299,-0.406,-0.047,1.066
300,0.090,0.148,1.059
301,-0.199,0.062,0.949
302,0.352,-0.082,0.855
303,0.250,-0.094,1.020
304,0.137,0.105,0.992
305,0.191,0.020,0.926
306,0.203,-0.043,0.910
307,-0.133,0.031,1.020
308,-0.285,0.035,1.105
309,-0.109,-0.047,1.102
310,-0.242,-0.055,1.035
311,0.121,0.078,1.070
312,0.000,-0.023,0.941
313,0.355,-0.156,0.859
314,0.223,-0.145,0.859
315,0.227,-0.066,0.906
316,0.109,-0.109,0.949
317,-0.051,-0.074,1.074
318,-0.266,-0.016,1.164
319,-0.199,0.016,1.086
320,-0.262,0.066,1.043
321,-0.016,0.031,1.016
322,-0.047,0.020,0.945
323,0.020,0.074,0.965
324,0.297,0.113,0.984
325,-0.090,0.047,0.887
326,0.238,-0.008,0.938
327,-0.152,0.004,0.938
328,-0.242,-0.129,0.961
329,-0.125,-0.109,1.051
330,-0.418,-0.035,1.137
331,-0.121,-0.027,1.078
332,-0.004,-0.059,0.914
333,0.195,-0.035,0.953
334,0.098,-0.031,0.930
335,0.266,-0.027,1.012
336,-0.016,-0.027,1.035
337,0.230,0.098,1.066
338,-0.199,0.098,0.988
339,0.035,0.004,0.969
340,-0.246,-0.090,1.020
341,-0.055,0.016,1.027
342,-0.227,0.004,1.012
343,0.246,0.070,1.008
344,0.043,-0.031,0.898
345,0.316,-0.102,0.906
346,0.277,-0.102,0.926
347,0.094,0.020,0.953
348,0.203,-0.004,1.000
349,-0.133,-0.098,1.039
350,-0.117,-0.023,1.117
351,-0.211,0.062,1.066
352,-0.215,-0.020,0.980
353,-0.047,0.035,1.020
354,-0.141,-0.012,1.008
355,-0.012,-0.105,0.984
356,0.191,0.027,1.035
357,-0.141,0.012,0.957
358,0.285,-0.086,0.918
359,-0.082,-0.191,0.855
360,-0.023,0.039,0.977
361,-0.105,-0.004,0.988
362,-0.301,-0.059,1.004
363,-0.098,0.043,1.047
364,-0.207,0.043,1.027
365,-0.023,-0.016,0.969
366,0.062,-0.008,0.977
367,0.121,0.137,0.980
368,0.129,0.070,0.910
369,0.172,0.008,0.965
370,-0.184,0.004,1.012
371,0.055,-0.012,1.074
372,-0.254,-0.082,1.008
373,-0.043,-0.008,1.043
374,-0.059,-0.059,1.066
375,-0.027,-0.055,0.984
376,0.207,-0.160,0.945
377,0.199,-0.125,0.980
378,0.250,-0.008,1.027
379,0.152,-0.016,0.941
380,0.129,-0.066,0.918
381,-0.043,0.035,0.992
382,-0.137,0.160,1.066
383,-0.293,-0.047,0.930
384,-0.145,0.004,1.051
385,-0.336,0.031,1.117
386,-0.070,-0.066,1.012
387,0.016,-0.047,0.934
388,0.242,-0.016,0.918
389,0.180,-0.086,0.898
390,0.180,-0.117,0.902
391,0.012,-0.047,1.023
392,0.012,0.066,1.039
393,-0.195,0.059,1.016
394,-0.176,0.020,1.016
395,-0.250,0.027,1.074
396,-0.250,-0.059,1.027
397,0.004,0.055,1.078
398,-0.070,0.152,0.965
399,0.238,0.039,0.898
400,0.141,-0.172,0.871
401,0.141,-0.074,0.977
402,-0.070,-0.062,1.023
403,0.125,-0.020,0.988
404,-0.109,-0.023,0.980
405,0.070,-0.109,0.949
406,-0.121,-0.145,1.027
407,-0.137,0.047,1.129
408,0.012,0.117,0.984
409,-0.023,-0.047,0.934
410,0.273,0.047,1.109
411,-0.152,0.016,1.000
412,0.250,-0.043,0.938
413,0.000,0.043,0.957
414,0.016,0.051,1.008
415,-0.156,-0.141,0.934
416,-0.090,-0.090,1.023
417,-0.270,-0.055,1.027
418,0.027,-0.020,1.035
419,-0.059,-0.090,0.957
420,0.309,-0.055,0.961
421,0.156,-0.023,0.898
422,0.129,0.035,0.922
423,0.199,0.023,0.992
424,-0.062,-0.051,1.020
425,-0.094,0.117,1.078
426,-0.312,0.109,1.062
427,-0.238,0.000,1.055
428,-0.211,-0.102,0.980
429,-0.078,-0.035,1.066
430,-0.168,-0.035,1.004
431,0.191,-0.051,0.965
432,0.074,-0.121,0.895
433,0.250,-0.043,0.945
434,0.160,0.066,0.902
435,0.043,0.020,0.902
436,-0.016,-0.008,1.062
437,-0.387,0.027,1.145
438,-0.078,0.031,1.062
439,-0.234,0.148,1.000
440,0.027,0.078,0.906
441,-0.027,-0.219,0.953
442,0.184,-0.102,1.078
443,-0.016,-0.004,1.059
444,0.332,0.137,0.910
445,0.180,-0.012,0.777
446,0.211,-0.332,0.828
447,-0.133,-0.137,1.121
448,-0.445,0.195,1.270
449,-0.070,-0.082,1.039
450,0.004,0.012,0.910
451,-0.043,0.012,0.965
452,0.047,-0.039,0.984
453,-0.117,-0.012,1.070
454,0.203,-0.039,0.945
455,0.156,0.074,0.957
456,0.086,0.145,0.902
457,0.043,-0.102,0.906
458,-0.195,-0.203,0.969
459,-0.227,-0.055,1.188
460,-0.180,0.012,1.129
461,-0.145,0.105,0.961
462,0.082,0.027,0.914
463,0.035,-0.133,0.879
464,0.098,0.016,1.105
465,0.070,0.059,0.984
466,0.082,0.004,0.922
467,0.047,0.094,0.973
468,-0.102,0.078,1.031
469,-0.211,-0.047,0.969
470,-0.176,-0.066,1.035
471,-0.195,-0.047,1.039
472,-0.082,-0.078,1.090
473,0.090,-0.027,0.992
474,0.215,0.059,0.945
475,0.293,-0.078,0.816
476,0.301,-0.301,0.828
477,0.094,-0.188,1.047
478,-0.184,0.199,1.191
479,-0.129,0.047,0.996
480,-0.102,-0.148,0.910
481,-0.141,0.035,1.133
482,-0.316,0.070,1.102
483,-0.098,-0.113,0.996
484,0.074,0.035,1.008
485,0.141,0.109,1.027
486,0.285,-0.023,0.863
487,0.145,-0.051,0.902
488,0.133,-0.121,0.906
489,-0.160,-0.043,1.105
490,-0.203,0.031,1.027
491,-0.117,0.023,0.969
492,-0.285,0.039,0.953
493,-0.117,-0.043,1.047
494,-0.184,-0.152,1.066
495,0.039,0.027,1.023
496,0.176,0.152,0.898
497,0.219,0.062,0.840
498,0.227,-0.023,0.883
499,-0.191,-0.027,1.086
500,-0.105,-0.047,1.094
501,-0.137,-0.051,1.008
502,-0.055,0.145,1.082
503,-0.078,-0.008,0.961
504,0.125,-0.258,0.926
505,-0.027,-0.176,1.023
506,0.191,0.035,1.105
507,0.191,0.000,0.910
508,0.258,-0.047,0.828
509,0.234,-0.105,0.836
510,-0.195,0.086,1.113
511,-0.227,0.105,1.125
512,-0.227,-0.105,1.039
513,-0.230,0.094,1.133
514,-0.152,0.129,1.059
515,0.148,0.043,0.953
516,0.043,-0.027,0.840
517,0.371,-0.031,0.945
518,0.055,-0.066,0.941
519,0.176,-0.062,0.980
520,0.004,-0.020,0.969
521,-0.070,-0.074,0.965
522,-0.125,-0.027,0.992
523,-0.125,0.020,1.027
524,-0.496,-0.082,1.004
525,-0.086,0.012,1.133
526,-0.203,0.047,1.059
527,-0.004,0.047,0.941
528,0.164,0.082,0.906
529,0.031,-0.004,0.953
530,0.156,-0.160,0.992
531,0.082,-0.129,0.977
532,-0.066,0.059,1.027
533,0.090,0.125,0.965
534,-0.094,-0.121,0.891
535,-0.191,-0.117,1.035
536,-0.156,0.047,1.160
537,-0.160,-0.016,0.992
538,0.156,0.078,1.016
539,0.109,0.117,0.949
540,0.133,-0.078,0.902
541,0.273,-0.086,0.945
542,-0.012,-0.008,0.945
543,0.141,-0.008,1.000
544,-0.172,-0.055,1.023
545,-0.145,-0.152,1.074
546,-0.051,-0.164,1.090
547,-0.203,-0.039,1.082
548,0.172,-0.023,0.953
549,0.207,-0.086,0.906
550,0.023,-0.105,0.914
551,0.266,0.086,1.062
552,-0.145,0.051,0.898
553,0.234,0.078,0.934
554,-0.164,0.137,0.969
555,-0.312,0.070,1.035
556,-0.188,-0.035,1.059
557,-0.398,0.016,1.062
558,-0.059,0.094,1.086
559,-0.023,0.066,0.965
560,0.125,-0.059,0.840
561,0.211,-0.125,0.938
562,0.152,-0.012,1.023
563,0.051,-0.051,0.969
564,0.219,-0.035,0.992
565,-0.219,0.055,1.020
566,-0.098,-0.070,1.016
567,-0.184,-0.195,1.039
568,-0.234,-0.035,1.062
569,-0.082,0.070,1.047
570,-0.062,-0.023,0.996
571,0.195,-0.133,0.922
572,0.078,-0.117,0.918
573,0.184,0.027,0.965
574,0.203,0.004,0.879
575,0.043,-0.062,0.934
576,-0.098,0.031,1.023
577,-0.117,-0.023,1.121
578,-0.160,-0.055,1.027
579,-0.023,0.047,1.035
580,-0.094,0.082,1.000
581,0.059,-0.023,0.953
582,0.145,0.004,0.996
583,0.035,0.066,0.914
584,0.176,0.047,0.965
585,-0.090,-0.012,0.977
586,-0.090,-0.117,1.000
587,-0.156,-0.133,1.066
588,-0.230,-0.074,1.027
589,-0.047,0.020,1.016
590,-0.059,-0.062,0.973
591,0.004,-0.129,0.988
592,0.148,0.008,1.066
593,0.082,0.055,0.977
594,0.398,0.062,0.953
595,0.098,0.098,0.961
596,0.094,0.102,0.949
597,-0.062,0.008,0.992
598,-0.207,0.039,1.023
599,-0.355,0.004,1.062
600,-0.270,0.012,1.082
601,-0.227,-0.062,1.016
602,0.004,-0.074,0.984
603,0.094,-0.078,0.902
604,0.195,-0.074,0.867
605,0.375,-0.051,0.887
606,0.043,-0.086,0.918
607,0.148,0.023,1.090
608,-0.164,0.043,1.020
609,-0.094,-0.016,1.008
610,-0.180,-0.047,1.125
611,-0.324,0.027,1.125
612,-0.039,-0.016,1.039
613,-0.012,-0.027,0.938
614,0.160,-0.055,1.008
615,0.141,-0.016,0.992
616,0.168,-0.070,0.902
617,0.211,-0.090,0.855
618,0.184,0.070,0.980
619,-0.094,0.078,0.949
620,-0.066,-0.016,1.012
621,-0.293,-0.043,1.059
622,-0.207,0.039,1.160
623,-0.215,0.027,1.012
624,-0.215,0.027,1.012
625,0.070,0.082,0.977
626,0.008,-0.004,0.883
627,0.254,-0.016,0.895
628,-0.020,-0.051,0.953
629,0.105,-0.055,0.961
630,-0.098,-0.012,1.000
631,-0.168,-0.039,1.039
632,-0.148,-0.105,1.027
633,-0.246,-0.137,1.039
634,-0.090,-0.055,1.070
635,0.062,-0.051,1.023
636,0.102,-0.016,0.961
637,0.320,0.066,0.918
638,0.188,0.051,0.910
639,0.109,-0.012,0.941
640,0.082,0.055,0.988
641,-0.316,0.066,1.062
642,-0.156,-0.043,1.031
643,-0.324,-0.074,1.121
644,-0.164,0.016,1.074
645,-0.023,0.020,0.969
646,0.109,-0.078,0.840
647,0.348,-0.094,0.918
648,0.145,-0.027,0.984
649,0.230,-0.020,0.973
650,0.168,-0.031,0.926
651,0.023,0.129,1.020
652,-0.207,0.051,0.980
653,-0.258,-0.148,1.066
654,-0.383,-0.078,1.137
655,-0.172,0.152,1.148
656,-0.230,0.066,0.945
657,0.160,-0.086,0.949
658,0.082,-0.098,0.977
659,0.180,-0.035,0.926
660,0.395,-0.047,0.898
661,0.047,0.012,0.926
662,0.203,0.086,0.941
663,-0.219,0.008,1.004
664,-0.281,-0.141,1.016
665,-0.121,-0.043,1.086
666,-0.387,0.098,1.121
667,-0.062,0.031,0.988
668,0.078,-0.047,0.961
669,0.016,-0.016,0.977
670,0.273,-0.035,0.934
671,0.125,-0.188,0.895
672,0.180,-0.070,1.016
673,-0.094,0.082,1.074
674,-0.137,-0.098,0.961
675,-0.012,-0.160,1.012
676,-0.156,0.066,1.082
677,-0.090,0.008,0.992
678,0.133,-0.043,0.945
679,0.035,0.074,1.043
680,0.184,0.176,1.000
681,0.250,0.059,0.809
682,0.090,-0.066,0.879
683,0.059,0.102,1.074
684,-0.344,0.016,1.066
685,-0.133,-0.070,1.008
686,-0.137,0.023,1.094
687,-0.246,-0.012,1.012
688,0.078,-0.125,0.945
689,0.020,-0.156,0.945
690,0.078,-0.105,1.031
691,0.312,0.004,0.996
692,0.078,0.004,0.863
693,0.281,-0.020,0.895
694,-0.184,0.066,1.016
695,-0.355,-0.137,1.008
696,-0.055,-0.062,1.082
697,-0.516,0.227,1.102
698,0.055,0.230,1.020
699,-0.098,-0.023,0.891
700,0.031,-0.230,0.922
701,0.238,-0.133,1.109
702,0.039,0.035,1.031
703,0.305,0.074,0.934
704,0.328,-0.102,0.801
705,0.113,-0.270,0.816
706,-0.234,0.004,1.176
707,-0.332,-0.012,1.148
708,-0.309,-0.094,1.090
709,-0.191,0.145,1.141
710,-0.199,0.070,0.969
711,0.105,-0.113,0.922
712,0.082,-0.152,0.934
713,0.352,0.102,0.984
714,0.105,0.094,0.867
